Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Descricao;Possui_suite
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;1293.0;15602.0;Apartamento em Botafogo com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Santa Teresa;1;1;0;49;1150.0;570.0;28.0;1720.0;20668.0;Apartamento em Santa Teresa com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;40;1100.0;500.0;0.0;1600.0;19200.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Copacabana;1;0;0;30;1200.0;500.0;200.0;1700.0;20600.0;Apartamento em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Copacabana;1;0;0;35;1100.0;400.0;55.0;1500.0;18055.0;Apartamento em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tijuca;1;0;0;40;1100.0;350.0;50.0;1450.0;17450.0;Apartamento em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Botafogo;1;0;0;25;1000.0;440.0;25.0;1440.0;17305.0;Quitinete em Botafogo com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;34;1000.0;415.0;0.0;1415.0;16980.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Vila Isabel;1;1;0;52;1200.0;468.0;26.0;1668.0;20042.0;Apartamento em Vila Isabel com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Glória;1;0;0;34;1100.0;275.0;14.0;1375.0;16514.0;Apartamento em Glória com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Higienópolis;1;0;1;45;800.0;120.0;31.0;920.0;11071.0;Apartamento em Higienópolis com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Casa de Condomínio;Campo Grande;1;1;0;60;780.0;240.0;0.0;1020.0;12240.0;Casa de Condomínio em Campo Grande com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Quitinete;Centro;1;1;1;37;1100.0;370.0;25.0;1470.0;17665.0;Quitinete em Centro com 1 quarto(s)\ e 1 vaga(s) de garagem;Sim
Apartamento;Engenho Novo;1;0;0;37;600.0;414.0;16.0;1014.0;12184.0;Apartamento em Engenho Novo com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Encantado;1;1;0;44;500.0;346.0;0.0;846.0;10152.0;Apartamento em Encantado com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Barra da Tijuca;1;1;1;45;910.0;640.0;12.0;1550.0;18612.0;Apartamento em Barra da Tijuca com 1 quarto(s)\ e 1 vaga(s) de garagem;Sim
Apartamento;Centro;1;0;0;30;900.0;320.0;0.0;1220.0;14640.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;21;900.0;289.0;20.0;1189.0;14288.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Praça da Bandeira;1;0;0;35;400.0;130.0;0.0;530.0;6360.0;Apartamento em Praça da Bandeira com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Ipanema;1;0;0;30;1200.0;400.0;29.0;1600.0;19229.0;Quitinete em Ipanema com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Rio Comprido;1;0;0;33;800.0;275.0;24.0;1075.0;12924.0;Apartamento em Rio Comprido com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Copacabana;1;0;0;30;1000.0;300.0;30.0;1300.0;15630.0;Quitinete em Copacabana com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
